timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670677339980,55,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-11,text,false,Test failed: code expected to contain /200/,823,212,7,7,http://localhost:3000/posts/:NF,55,0,0
1670677340002,35,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-22,text,true,,191,123,6,6,http://localhost:3000/posts/,35,0,0
1670677339912,132,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-19,text,false,Test failed: code expected to contain /200/,983,231,6,6,http://localhost:3000/posts/,132,0,0
1670677340019,38,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-20,text,false,Test failed: code expected to contain /200/,823,211,6,6,http://localhost:3000/posts/:NF,38,0,0
1670677340028,39,SimpleBlg_02_health_check,200,OK,Thread Group 1-23,text,true,,165,129,6,6,http://localhost:3000/health_check,39,0,0
1670677340000,52,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-18,text,false,Test failed: code expected to contain /200/,823,212,6,6,http://localhost:3000/posts/:NF,52,0,0
1670677339994,82,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-21,text,false,Test failed: code expected to contain /200/,985,231,6,6,http://localhost:3000/posts/,82,0,0
1670677340045,41,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-19,text,false,Test failed: code expected to contain /200/,823,211,6,6,http://localhost:3000/posts/:NF,41,0,0
1670677340038,53,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-22,text,false,Test failed: code expected to contain /200/,985,231,6,6,http://localhost:3000/posts/,53,0,0
1670677340068,32,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-23,text,true,,191,123,6,6,http://localhost:3000/posts/,32,0,0
1670677340065,44,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-20,text,false,Test failed: code expected to contain /200/,823,212,6,6,http://localhost:3000/posts/:NF,44,0,0
1670677340070,46,SimpleBlg_01_GET,200,OK,Thread Group 1-24,text,true,,190,117,5,5,http://localhost:3000/,46,0,2
1670677340077,45,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-21,text,false,Test failed: code expected to contain /200/,823,211,5,5,http://localhost:3000/posts/:NF,45,0,0
1670677340087,44,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-19,text,false,Test failed: code expected to contain /200/,823,212,5,5,http://localhost:3000/posts/:NF,44,0,0
1670677340093,42,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-22,text,false,Test failed: code expected to contain /200/,823,211,4,4,http://localhost:3000/posts/:NF,42,0,0
1670677340116,22,SimpleBlg_02_health_check,200,OK,Thread Group 1-24,text,true,,165,129,4,4,http://localhost:3000/health_check,22,0,0
